Venue Number,Venue,Chosen by,Reviewer,Proximity /Access,Taste,Value,Service,Vibe,Total,Comment
11,Chinatown Plaza Food Mecca,Nick,Nick,15,18,18,15,14,80,The beepers stopped working. The Massaman curry from Cardamon wasn't as good as I remembered.
11,Chinatown Plaza Food Mecca,Nick,Elisha,15,17,15,16,15,78,Great honey chicken but an additional $5 for the fried rice over plain rice.
11,Chinatown Plaza Food Mecca,Nick,Julien,16,15,15,16,14,76,
11,Chinatown Plaza Food Mecca,Nick,Ed,15,15,16,14,14,74,$30 for a green chicken curry from thai place and beer was decent value. Cabbage in curry was an unwelcome addition.
12,Sunflower,Ben,Mac,19,18,18,17,16,88,The meal was very tasty and reasonably priced.
12,Sunflower,Ben,Ed,19,18,19,16,15,87,$16.50 for a decent pho. Quick service but have to order at the counter.
12,Sunflower,Ben,Nick,19,15,18,17,16,85,I'd prefer roast pork served at lunch time to not be cold. Roast pork could have used a pinch of salt.
12,Sunflower,Ben,Dan,19,15,16,17,16,83,Flavour was lacking. Not enough meat!
13,Bluprint,Hamish,Aubrey,15,18,18,18,20,89,Give me that Focaccia bread any day
13,Bluprint,Hamish,Hamish,15,19,17,19,19,89,Biased but blueprint is bomb
13,Bluprint,Hamish,Ed,14,19,18,19,18,88,Next level sandwiches. Soprano focaccia for $16 was top notch
13,Bluprint,Hamish,Ben,14,17,18,19,17,85,Sandwiches for the win!
14,The Golden Wattle,Mac,Aubrey,13,16,17,15,17,78,"Pleasantly surprised, service was a bit of a wait though!"
14,The Golden Wattle,Mac,Ed,13,17,16,15,17,78,"$39 for a decent scnhitty & big beer. Slow service, nice retro vibes"
14,The Golden Wattle,Mac,Nick,13,17,16,15,17,78,I liked their deluxe burger more than their chicken schnitzel with pepper sauce.
14,The Golden Wattle,Mac,Hamish,14,14,17,14,18,77,Fried chicken in burger was a little overcooked and waitress tried to convice me a zuchinni fritter was pork. Otherwise excellent
14,The Golden Wattle,Mac,Dan,15,16,14,15,16,76,Beef schnitty. Was the best I've had. Rest was stock standard pub fare. Liked the open space and high ceiling. Decor was a bit odd.
15,Donburi House,Aubrey,Nick,14,19,17,13,14,77,"I enjoyed the Nanban Chicken Don. Menu was a bit daunting initially, but would be tempted to go back and try more dishes."
15,Donburi House,Aubrey,Ben,14,18,17,13,14,76,Tasty eel goodness with a crunch. I tipped the waitress as they had a movie based gadget that I wanted to try.
15,Donburi House,Aubrey,Elisha,14,19,18,10,14,75,"Would go back daily for the signature egg sauce, but wouldn't ever tip the waitress."
15,Donburi House,Aubrey,Ed,14,18,18,8,16,74,Terrible service but $20 for huge serve of spicy chicken karaage don was good value
15,Donburi House,Aubrey,Jess,15,19,15,10,13,72,"Vege gyoza were delicious, service and vibe were ave but good food brought the score up"
15,Donburi House,Aubrey,Hamish,15,18,16,7,14,70,Got the stink eye from staff when walking in. Very good Gyu Don and salad. Needed some soft music to listen to during our long wait
15,Donburi House,Aubrey,Aubrey,15,18,16,5,14,68,Food was amazing. Not a fan of the server and the wait time.
16,Real Falafel,Jess,Aubrey,20,20,20,20,18,98,"Great pick, amazing food, wish the seats were'nt as tall as me - otherwise 10/10 would go again!"
16,Real Falafel,Jess,Jess,17,18,17,15,15,82,Very busy but personally love this place.
16,Real Falafel,Jess,Hamish,19,17,18,13,13,80,Eating my bodyweight in hummus? I'm there. Just wish we didn't have to wrestle for a chair!
16,Real Falafel,Jess,Ed,17,14,17,15,16,79,"$14 for a falafel bowl with luke warm falafels, hummous, salads and chips was OK. Good if you can secure a table nearby"
16,Real Falafel,Jess,Mac,16,14,16,14,15,75,The food wasn't bad but the atmosphere was bit too noisy.
17,Miss Malay,Ed,Ed,19,19,18,16,16,88,$24 for decent singapore noodles & a soft drink. Sambal was a nice addition
17,Miss Malay,Ed,Hamish,19,18,18,16,17,88,Perfectly crispy anchovies and funky sambal has my heart any day of the week
17,Miss Malay,Ed,Lily,19,18,18,15,16,86,"Proximity really dictated my scoring today. Anything tastes better when you dont have to walk far to get it. BUT, the value and taste was pretty decent also."
18,Jumbo Smash,Katelin,Aubrey,18,18,20,16,19,91,"Great house wine, decent price for a combo meal, very filling"
18,Jumbo Smash,Katelin,Dan,18,18,19,17,19,91,
18,Jumbo Smash,Katelin,Ed,16,19,19,16,19,89,"$25 for a decent burger, plus fries and drink. Great vibe, eclectic soundtrack"
18,Jumbo Smash,Katelin,Hamish,17,19,19,15,19,89,"Great value, excellent chicken burger and nice chardy"
18,Jumbo Smash,Katelin,Mac,17,19,19,15,19,89,"Great vibe, the music was abit loud for conversation but the food was very tasty."
18,Jumbo Smash,Katelin,Lily,17,19,19,16,18,89,"Great food, wont need to eat for many days to come. Forgot my mushroom burger but gave me a small pot of fries to sustain myself, so ultimately only knocked a few points off service for that. Music was a tad loud but it was still a funky vibe. Burger once it did arrive was honestly 10/10 for a vego meal. Would eat again - chefs kiss!"
19,Hot & Spicy Kitchen,Hamish,Aubrey,20,20,20,20,20,100,"Very good food, quick, cheap and super wholesome! 20s across the board"
19,Hot & Spicy Kitchen,Hamish,Hamish,20,20,20,20,20,100,"Biased: I love spicy food, I love asian food, I love sharing food. Couldn't have been better"
19,Hot & Spicy Kitchen,Hamish,Katelin,19,19,20,18,19,95,"loved stuffing my face - and I'm now in a food coma, so you could say it went down a treat"
19,Hot & Spicy Kitchen,Hamish,Ben,17,20,20,19,18,94,"So tasty, much value, such goodness."
19,Hot & Spicy Kitchen,Hamish,Ed,17,19,20,19,17,92,"$20 for a hearty, tasty, spicy meal including a drink. Great value."
19,Hot & Spicy Kitchen,Hamish,Jason,17,20,20,18,16,91,"Loved the food, vego one was more fragrant on the tongue. Delightful. Would absolutely go again."
19,Hot & Spicy Kitchen,Hamish,Dan,17,18,20,16,17,88,I think we would have a differerent experience without Hamish as our host. Hence low service score.
19,Hot & Spicy Kitchen,Hamish,Nick,15,15,15,15,14,74,"Gets a bit noisy in there, food wasn't bad but i've tried a lot of Sichuan food having recently visited the province"
20,Bottega Bandito,Emily,Aubrey,13,20,15,18,18,84,"Hot sando for the win, super attentive staff, but $21 for a sando was spennnyyy"
20,Bottega Bandito,Emily,Ed,13,18,15,17,18,81,"$22 for a sambo is a little steep, and $2 extra for chilli. But $29 deal for sambo and wine/beer pretty good"
21,Ky Chow,Blessing,Ed,19,18,16,14,17,84,Very close by and tasty. $30 per head was OK value. Could have used the water we asked for given the salty food and hot day.
21,Ky Chow,Blessing,Ben,19,18,15,15,17,84,Close and tasty!
21,Ky Chow,Blessing,Céline,19,14,15,18,17,83,Great walking distance
22,Maison Clément,Celine,Dan,14,19,19,20,20,92,The real deal. And decent prices too. All baked on location. I have a croisant that I won't include in this review because I haven't eaten it yet.
22,Maison Clément,Celine,Jason,14,19,20,18,17,88,Amazing value for the baguette and a lovely little surprise as I had never heard of this place before
22,Maison Clément,Celine,Céline,14,18,20,18,18,88,"Fries & wine amazing, srvice great, just a bit long, distance a bit far but happy to share a little of my culture"
22,Maison Clément,Celine,Blessing,13,17,18,20,18,86,The Boeuf Bourguignon was a very tasty meal
22,Maison Clément,Celine,Ben,14,18,17,19,18,86,Very tasty Duck A'Laronge.
22,Maison Clément,Celine,Aubrey,13,17,18,20,17,85,Steak frites was fairly priced especially with a bevvy.
22,Maison Clément,Celine,Ed,14,18,18,18,17,85,$38 for a nicely cooked steak frites and a glass of fruity French Cab Sav. Bit of a walk though.
23,TA Town Square - Africola,Ed,Ed,20,18,8,17,19,82,"$26 for a very tasty, promptly delivered, but very small peri peri chicken ($38 incl a drink). Great vibe on a warm autumn day"
23,TA Town Square - Filipino BBQ,Ed,Dan,20,17,5,10,20,72,
23,TA Town Square - Le Cordon Vert,Ed,Céline,20,16,14,15,19,84,"Great vibe on a warm autumn day. Beef was good and well cooked, very filling with the baguette and fries, sauce not so tasty.Felt that $28 for a meet and fries sandwich not the best value"
24,Thai Room,Dan,Céline,19,18,18,19,18,92,"Loved the taste, the vibes and the proximity and ease process in pre-ordering"
24,Thai Room,Dan,Aubrey,19,19,16,17,16,87,"Loved the meal! Heaps of flavour, super close to work, but a bit spenny and posh"
24,Thai Room,Dan,Dan,19,19,15,16,16,85,
24,Thai Room,Dan,Katelin,19,20,15,13,15,82,"Noodle dish was delicious 10/10, but service wasn't ammmmazing"
24,Thai Room,Dan,Stacey,19,18,14,15,15,81,"A little pricey, but delish + flavourful. Loved the peanuts!!"
24,Thai Room,Dan,Ed,19,19,14,14,14,80,Green chicken curry was nice but a bit expensive at $37 including rice. Stuffed up table's order
24,Thai Room,Dan,Emily,19,18,14,14,15,80,Loved the rice noodle rolls! A little on the spenny side
25,Pinco Deli,Jason,Katelin,18,20,17,16,19,90,Was IMPRESSED with the mushroom burger. If I'm choosing that over a meat version and didn't regret it - you know it was 10/10
25,Pinco Deli,Jason,Dan,16,17,17,16,16,82,Not bad. No napkins on the table. Staff weren't very attentive to that level of detail.
25,Pinco Deli,Jason,Ed,14,18,17,16,17,82,"$18 for a stacked focaccia great value, $11 for a can of Peroni less so."
25,Pinco Deli,Jason,Jason,15,18,17,15,17,82,Enjoyed the leisurely stroll. Thought I ordered what I had last time but I did not which was disappointing but my own fault. Still delicious.
25,Pinco Deli,Jason,Katelin,15,16,18,16,17,82,Was such a chill vibe! Very filling and hit the spot!
25,Pinco Deli,Jason,Aubrey,15,16,17,14,16,78,"Good value, but waited a bit too long for a sandwich. I'm bias towards a warm sando and this wasnt hitting for me purely for this reason."
25,Pinco Deli,Jason,Nick,16,16,16,14,16,78,"Great walk in Spring time, sandwich was good, something I wouldn't normally have."
25,Pinco Deli,Jason,Hamish,14,16,16,15,17,78,Walk on the longer side but well worth it. Pouring water but not giving us menues was a thumbs down
26,Pinco Italo,Stacey,Katelin,16,19,18,18,17,88,"Sando was HUGE, and very tasty. Bit of a mix up at the start with seating, but not their fault."
26,Pinco Italo,Stacey,Stacey,16,18,17,19,17,87,
26,Pinco Italo,Stacey,Céline,17,19,17,17,17,87,"That was a really great sandwich, probably the best I ever had! Fair proximity for a quick walk before and after a great lunch!"
